similarity,time_diff_hours,source_a,title_a,source_b,title_b,shared_tokens,human_verdict,claude_note
0.2,2.6,Kosmo Digital,Anwar mohon maaf tidak dapat sertai sidang khas RCI TH,Harian Metro,Sidang khas Dewan Rakyat hari ini bincang laporan RCI Tabung Haji,sidang | khas | rci,Different,related news cycle but distinct stories (apology vs the parliamentary session itself)
0.2,2.5,Utusan Malaysia,Anwar mohon maaf tidak dapat sertai sidang khas RCI TH,Harian Metro,Sidang khas Dewan Rakyat hari ini bincang laporan RCI Tabung Haji,sidang | khas | rci,Different,related news cycle but distinct stories
0.19,3.2,Al Jazeera English,"Iran war live: Trump claims Hormuz Strait open, seeks Iranian compensation",The Guardian World,Trump demands Iran pay compensation for decades of US soldier deaths,iran | trump | compensation,Uncertain,same broad topic (Trump-Iran compensation) but live-blog vs distinct article, unclear if same claim
0.19,4.5,BBC Arabic,ترامب يعلن إزالة الألغام من مضيق هرمز، وخامنئي يعين قيادة جديدة للحرس الثوري والقوات المسلحة,Al Jazeera Arabic,إيران مباشر.. ترمب يعلن إزالة كل الألغام من هرمز وبزشكيان يحذّر من الخلافات الداخلية,يعلن | إزالة | الألغام | هرمز,Same,same Hormuz mine-clearing announcement
0.18,6.9,Utusan Malaysia,111 penduduk maut gempa bumi Colombia,Al Jazeera English,111 dead after Colombia quakes leave trail of destruction,111 | colombia,Same,matching casualty figure = same report
0.18,0.2,Al Jazeera English,Trump to demand compensation for Tehran’s ‘conflicts’,The Guardian World,Trump demands Iran pay compensation for decades of US soldier deaths,trump | compensation,Same,same compensation demand story
0.17,0.4,Utusan Malaysia,Wanita mengamuk di Kulim bukan kerana masalah rumah tangga,Harian Metro,Wanita mengamuk pecahkan cermin dan lampu belakang kereta,wanita | mengamuk,Uncertain,possibly same Kulim incident, not confirmed by title alone
0.17,3.2,BBC News World,At least 132 killed in Colombia's largest earthquake in years,Al Jazeera English,Moment of terror as powerful earthquake shakes airport in Colombia,colombia | earthquake,Same,same earthquake event
0.17,2.7,BBC News World,Netanyahu's rejection of Trump's 15-point Gaza plan unlikely to be final word,The Guardian World,Flip-flopping Netanyahu rejects Gaza plan but cannot placate all his allies,netanyahu | gaza | plan,Same,same story cluster
0.17,11.1,BBC News World,World's oceans hit record-high July temperatures,Al Jazeera English,Europe braces for another heatwave after record-breaking temperatures,record | temperatures,Different,different specific stories (global ocean data vs Europe heatwave) sharing only generic words
0.17,8.8,BBC Arabic,سبتة: كيف تُشجّع حسابات على فيسبوك وإنستغرام على عبور جماعي جديد؟,Al Jazeera Arabic,واتساب يضع حسابات الأطفال تحت رقابة الأهل.. كيف تفعّل الميزة على آيفون؟,كيف | حسابات | على,Different,completely unrelated topics - false positive from generic connector words
0.16,0.2,BBC News World,At least 132 killed in Colombia's largest earthquake in years,The Guardian World,Colombia earthquake live updates: rescuers race to free people from building rubble after more than 110 killed,killed | colombia | earthquake,Same,same earthquake event
0.15,4.2,BBC News World,At least 132 killed in Colombia's largest earthquake in years,Al Jazeera English,Colombia’s Espriella to lead emergency efforts following Bogota earthquake,colombia | earthquake,Same,same earthquake aftermath
0.15,0.2,BBC News World,At least 132 killed in Colombia's largest earthquake in years,The Guardian World,Scores dead in Colombia after powerful earthquake strikes west of country,colombia | earthquake,Same,same earthquake event
0.15,7.4,Al Jazeera English,111 dead after Colombia quakes leave trail of destruction,The Guardian World,Scores dead in Colombia after powerful earthquake strikes west of country,dead | colombia,Same,same earthquake event
